ID,名称,Method,URI
AP1001,ログインする,POST,/staff/login
AP1002,職員の情報を取得する,GET,/staff/profile
AP1003,班で集約して会場リストを取得する,GET,/placeSchedules/teams
AP1004,班を指定して会場日程を取得する,GET,/placeSchedules/places
AP1005,ホームメニュー項目を取得する,GET,/homeMenus
AP1006,検査メニュー一覧を取得する,GET,/examMenus
AP1007,受診番号を検証する,POST,/consult/consultNumber/verify
AP1008,未受診の検査メニューを取得する,GET,/consult/{consultNumber}/unexaminedMenus
AP1009,検査結果入力情報を取得する,GET,/consult/{consultNumber}/inputExamItems
AP1010,検査内容を取得する,GET,/consult/{consultNumber}/examItems
AP1011,中止理由一覧を取得する,GET,/cancelReasons
AP1012,検査機器一覧を取得する,GET,/equipments
AP1013,検査結果を検証する,POST,/consult/{consultNumber}/results/verify
AP1014,検査結果を登録する,POST,/consult/{consultNumber}/results
AP1015,進捗状況を取得する,GET,/progress/{placeScheduleId}
AP1016,会場ロック状態を取得する,GET,/placeSchedules/{placeScheduleId}/placeScheduleLockingStatus
AP1017,会場ロック状態を更新する,PUT,/placeSchedules/{placeScheduleId}/placeScheduleLockingStatus
AP1018,連携対象の検査結果を取得する,GET,/integrations/examResults
AP1019,連携用に検査結果を出力する,POST,/integrations/examResults/{placeScheduleId}/export
AP1020,検査結果の出力履歴を取得する,GET,/integrations/examResults/exportHistory
AP1021,検査結果の連携状態を未出力にする,POST,/integrations/examResults/undoExport
AP1022,検査の実施有無と中止理由を登録する,POST,/consult/{consultNumber}/executions
