ID,名称,Method,URI
AP1001,ログインする,POST,/login
AP1002,管理者の情報を取得する,GET,/administrators/{administratorId}
AP1003,班で集約して会場リストを取得する,GET,/placeSchedules/teams
AP1004,班を指定して会場日程を取得する,GET,/placeSchedules/places
AP1005,ホームメニュー設定を取得する,GET,/homeMenus
AP1006,健診メニュー一覧を取得する,GET,/checkupMenus
AP1007,予約Noを検証する,POST,/consult/reservationNo/verify
AP1008,未受診の健診メニューを取得する,GET,/consult/{consultId}/unexaminedMenus
AP1009,簡易な受診者情報を取得する,GET,/受診者s/{受診者ID}/simple
AP1010,詳細な受診者情報を取得する,GET,/受診者s/{受診者ID}/detail
AP1011,中止理由を取得する,GET,/cancelReasons
AP1012,機器連携設定を取得する,GET,/equipments
AP1013,検査結果を検証する,POST,/consult/{consultId}/results/verify
AP1014,検査結果を登録する,POST,/consult/{consultId}/results
AP1015,進捗状況を取得する,GET,/progress/{placeScheduleId}
AP1016,会場状況を取得する,GET,/placeSchedules/placeCloseStatus
AP1017,会場状況を更新する,PUT,/placeSchedules/placeCloseStatus
AP1018,連携対象の検査結果を取得する,GET,/integrations/resuls/{placeScheduleId}
AP1019,連携用に検査結果を出力する,POST,/integrations/resuls/{placeScheduleId}/export
AP1020,検査結果の出力履歴を取得する,GET,/integrations/resuls/exportedHistory
AP1021,検査結果の連携状態を変更する,PUT,/consult/{consultId}/integrationStatus
