検査,型番,検証,接続方法,通信速度,データビット,パリティビット,ストップビット,フロー制御
身体,AD-6351,◯,有線通信,2400 / 4800 / 9600 bps,7 / 8 bit,none / even / odd,1 bit,
身体,BSM370,,有線通信,,,,,
腹囲,DTM-20R,◯,Bluetooth Classic,,,,,
血圧,TM-2580,◯,有線通信,2400 / 4800 / 9600 / 38400 bps,8 bit,odd,2 bit,RTS / CTS
心電図,FCP-8221,×,,,,,,
心電図,FCP-8300,◯,有線通信,1200 / 2400 / 4800 / 9600 bps,7 / 8 bit,none / even / odd,1 / 2 bit,
心電図,FCP-8321,,有線通信,1200 / 2400 / 4800 / 9600 bps,7 / 8 bit,none / even / odd,1 / 2 bit,
心電図,FCP-8400,◯,有線通信,1200 / 2400 / 4800 / 9600 bps,7 / 8 bit,none / even / odd,1 / 2 bit,
視力,NV-350,◯,有線通信,1200 / 2400 / 4800 / 9600 bps,7 / 8 bit,none / even / odd,1 / 2 bit,
聴力,AA-58,◯,有線通信,1200 / 2400 / 4800 bps,7 bit,even,1 bit,
聴力,AA-K1A,,有線通信,1200 / 2400 / 4800 bps,7 bit,even,1 bit,
聴力,AA-K1B,×,,,,,,
眼圧,TX-21,,,,,,
